id,customer_message,context,gold_intent,gold_decision,gold_reason,optional_reference_notes
gold_001,is this a scam?,is this a scam? https://t.co/2EudmWQaG3,app_store_billing_and_subscriptions,ESCALATE_TO_HUMAN,Financial transaction/refund issue requires secure account verification.,Historical agent resolution: We'd like to help provide a helpful link....
gold_002,My iPhone battery is terrible. Absolutely terrible. It’s only 1 year old. Wtf ?! I didn’t spend £799 on a phone to last me a year!?!?!,My iPhone battery is terrible. Absolutely terrible. It’s only 1 year old. Wtf @115858?! I didn’t spend £799 on a phone to last me a year!?!?!,battery_and_charging,ESCALATE_TO_HUMAN,High customer frustration or explicit human agent request.,Historical agent resolution: We're here to help. Which version of the operating system is your iPhone running? Let us know in DM ...
gold_003,"why does this keep replacing my ""I"" on my phone whenever its posted on any app","why does this keep replacing my ""I"" on my phone whenever its posted on any app https://t.co/BLBwEhvS80",ios_software_update_bugs,AUTO_HANDLE,Standard ios_software_update_bugs inquiry resolvable via historical support steps.,Historical agent resolution: We're glad you reached out. Take a look here for steps to help with this issue:...
gold_004,okay y’all owe me a new phone 😒😞😒,,general_complaint_and_escalation,ESCALATE_TO_HUMAN,High customer frustration or explicit human agent request.,Historical agent resolution: We've received your DM and will continue working with you there. Look for a reply from us shortly....
gold_005,When can we expect the unlocked version of iPhone X available for preorder or to get one from stores.,When can we expect the unlocked version of iPhone X available for preorder or to get one from stores. @AppleSupport,order_shipping_and_trade_in,AUTO_HANDLE,Standard order_shipping_and_trade_in inquiry resolvable via historical support steps.,Historical agent resolution: We'll be glad to point you in the right direction. DM us which country you're in. We'll start there....
gold_006,Does no longer sell the lightning-ethernet adapter?,Does @AppleSupport no longer sell the lightning-ethernet adapter?,order_shipping_and_trade_in,AUTO_HANDLE,Standard order_shipping_and_trade_in inquiry resolvable via historical support steps.,Historical agent resolution: Thanks for reaching out. If available you would find that here:...
gold_007,"I have the new iPhone 8+ and sometimes when accessing the camera from the lock screen, I get a black screen with the spinner.","I have the new iPhone 8+ and sometimes when accessing the camera from the lock screen, I get a black screen with the spinner.
Yes I’ve tried restarting but it’s still doing this periodically.
I’m using 11.0.3 but this was also happening with the previous version (11.0.2).",hardware_audio_and_screen,AUTO_HANDLE,Standard hardware_audio_and_screen inquiry resolvable via historical support steps.,Historical agent resolution: Thanks for reaching out. Have you tried restarting your device following these steps?...
gold_008,why the hell is the system taking 10 of my 16 gb?????,@AppleSupport why the hell is the system taking 10 of my 16 gb????? https://t.co/JXbFBuY1PG,general_complaint_and_escalation,ESCALATE_TO_HUMAN,High customer frustration or explicit human agent request.,Historical agent resolution: Let's look into that. Send us a DM and we'll go from there....
gold_009,How can you fail at something your best at !! Your support is just useless in India. Better fix your product design!!,How can you fail at something your best at !! Your support is just useless in India. Better fix your product design!! https://t.co/kczBYcvUpd,general_complaint_and_escalation,ESCALATE_TO_HUMAN,High customer frustration or explicit human agent request.,"Historical agent resolution: We've received your DM, and will continue working with you there...."
gold_010,having issues getting photos from iCloud on my new iPhone X,,apple_id_and_icloud,ESCALATE_TO_HUMAN,High customer frustration or explicit human agent request.,Historical agent resolution: We'd like to help. Please DM us some more details about what is going on and we'll get started....
