id,customer_message,gold_intent,pred_intent,intent_confidence,gold_decision,pred_decision,decision_reason,agent_reply,grounded,top_retrieval_sim,judge_overall,latency_ms
gold_001,is this a scam?,app_store_billing_and_subscriptions,app_store_billing_and_subscriptions,0.2794,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,"Contains legal threat, fraud allegation, or severe customer dissatisfaction requiring human de-escalation. Intent 'app_store_billing_and_subscriptions' is designated for mandatory human review. Intent confidence (0.28) or confidence margin (0.12) is below automation threshold.",We'd like to help. We've got your back. Check out this link to identify and report phishing emails: Questions? Let us know.,True,0.7963,4.6,8875.15
gold_002,My iPhone battery is terrible. Absolutely terrible. It’s only 1 year old. Wtf ?! I didn’t spend £799 on a phone to last me a year!?!?!,battery_and_charging,battery_and_charging,0.3926,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,Intent confidence (0.39) or confidence margin (0.08) is below automation threshold.,"We'd like to help. That's not expected, but we can help! Which iPhone do you have and what version of iOS is installed currently?",True,0.7712,4.75,91.67
gold_003,"why does this keep replacing my ""I"" on my phone whenever its posted on any app",ios_software_update_bugs,ios_software_update_bugs,0.4256,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.43) or confidence margin (0.32) is below automation threshold.,Thanks for reaching out to us. Please send us a DM and we can chat with your there.,True,0.8042,4.6,78.46
gold_004,okay y’all owe me a new phone 😒😞😒,general_complaint_and_escalation,general_complaint_and_escalation,0.2795,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,Intent confidence (0.28) or confidence margin (0.11) is below automation threshold.,We'd like to help. Here’s what you can do to work around the issue until it’s fixed in a future software update:,True,0.7797,4.75,79.43
gold_005,When can we expect the unlocked version of iPhone X available for preorder or to get one from stores.,order_shipping_and_trade_in,order_shipping_and_trade_in,0.4504,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.45) or confidence margin (0.34) is below automation threshold.,We'd like to help. We’d like to get you in touch with our Apple Online Store. You can reach out to them here:,True,0.8713,4.6,70.84
gold_006,Does no longer sell the lightning-ethernet adapter?,order_shipping_and_trade_in,ios_software_update_bugs,0.2418,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.24) or confidence margin (0.12) is below automation threshold.,We'd like to help. Hi! Great question. Our Online Sales Team can help out with keyboards. Reach them here:,True,0.5949,4.1,64.34
gold_007,"I have the new iPhone 8+ and sometimes when accessing the camera from the lock screen, I get a black screen with the spinner.",hardware_audio_and_screen,hardware_audio_and_screen,0.54,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.54) or confidence margin (0.35) is below automation threshold.,We'd like to help. We'd be happy to do everything we can to help. Can you DM us if you have a backup from before your photos went missing?,True,0.6286,4.75,73.92
gold_008,why the hell is the system taking 10 of my 16 gb?????,general_complaint_and_escalation,ios_software_update_bugs,0.2887,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,Intent confidence (0.29) or confidence margin (0.15) is below automation threshold.,We'd like to help. We can help reclaim that space on your iPhone. Let's get together in DM to take a closer look at what's happening.,True,0.6484,4.35,67.03
gold_009,How can you fail at something your best at !! Your support is just useless in India. Better fix your product design!!,general_complaint_and_escalation,general_complaint_and_escalation,0.3242,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,"Contains legal threat, fraud allegation, or severe customer dissatisfaction requiring human de-escalation. Intent confidence (0.32) or confidence margin (0.15) is below automation threshold.",We'd like to help. We're here for you. What seems to be the issue with your iPhone?,True,0.5132,4.35,71.35
gold_010,having issues getting photos from iCloud on my new iPhone X,apple_id_and_icloud,apple_id_and_icloud,0.6048,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,Intent 'apple_id_and_icloud' is designated for mandatory human review. Intent confidence (0.60) or confidence margin (0.52) is below automation threshold.,We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance.,True,0.7194,4.75,64.62
