example_id,customer_message,retrieved_evidence,generated_response,human_overall,human_groundedness,human_helpfulness,human_tone,human_actionability,human_notes
gold_001,iPhone 6s updated to iOS 11. Phone now flashing and screen not going black during calls! Any ideas why? TIA,(0.76) We know it's important to have your device working properly. | (0.73) We'd be happy to look into this with you more in detail. Ple,We'd like to help. We know it's important to have your device working properly. We'd like to help out. Let's meet in DM.,,,,,,
gold_002,Is there a way to save #animojis without having to send them first? #iphonex,(0.52) Are you still having trouble activating? We'd recommend givi | (0.44) Thanks for reaching out to us for support. We would love to ,We'd like to help. Are you still having trouble activating? We'd recommend giving it some time and trying again. We apologize for the delay!,,,,,,
gold_003,Alright the whole point of updates is to make the phone run smoother. Ya need to drop 11.0.4 already cause this is ridiculous,(0.76) Hey there. Let's see what we can do to help. DM us and tell  | (0.75) Your iPhone should be running perfectly after an update. Joi,We'd like to help. Hey there. Let's see what we can do to help. DM us and tell us if you have any pending app updates in the App Store.,,,,,,
gold_004,Wtf is that question mark in a box shit ?,(0.80) Here’s what you can do to work around the issue until it’s f | (0.79) Hi there! Check out these steps for info about what you're s,We'd like to help. Here’s what you can do to work around the issue until it’s fixed in a future software update:,,,,,,
gold_005,help me my MacBook won’t charge or turn on,(0.90) Let’s team up on this. Does that continue after taking these | (0.81) Help is here. Have you tried the steps found here? Let us kn,We'd like to help. Let’s team up on this. Does that continue after taking these steps in this article? Let us know via DM.,,,,,,
gold_006,. 140 characters is not enough room to enumerate all the issues my iPhone is having since updating to iOS 11.03 #phonetherapy?,(0.62) We'd like to work with you. Give us a brief description of w | (0.61) What exactly is going on with your devices? We'd love to wor,We'd like to help. We'd like to work with you. Give us a brief description of what's going on in DM.,,,,,,
gold_007,"I'll be traveling to Nicaragua, Costa Rica, and Panama. Do I need a voltage converter for any of these countries?","(0.51) Yes, they should be compatible, however, you will need a dif | (0.30) Away from your phone? Apple Watch Series 3 with cellular kee","We'd like to help. Yes, they should be compatible, however, you will need a different tip most likely. This should help:",,,,,,
gold_008,you guys need to fix this “ I️ “ BS!!!,(0.71) This workaround will help until this issue is resolved in a  | (0.70) Here’s what you can do to work around the issue until it’s f,We'd like to help. This workaround will help until this issue is resolved in a future patch:,,,,,,
gold_009,I had about 1000 photos on my phone. Suddenly there are only 32. They’re not in my iCloud. Where are they!? .,(0.77) Let's look into that. Send us a DM and we'll go from there. | (0.69) We'd like to help! Send us a DM with the device you are usin,Let's look into that. Send us a DM and we'll go from there.,,,,,,
gold_010,is anyone else having an issue when they type “i️” i️t replaces i️t with some punctuation marks??,(0.80) Let's get that corrected for you. If you haven't seen it alr | (0.79) Here’s what you can do to work around the issue until it’s f,"We'd like to help. Let's get that corrected for you. If you haven't seen it already, please try the steps here:",,,,,,
gold_011,Just downloaded IOS 11.0.2 and now can’t make any calls- what’s the issue? #helpmeout,(0.82) We can help out. Has the device been restarted since it happ | (0.82) We understand how important it is that you're able to make a,We'd like to help. We can help out. Has the device been restarted since it happened?,,,,,,
gold_012,"Suddenly, iTunes won’t play more than one song at a time. How did that get broken?","(0.68) Thanks for bringing this situation to our attention. Could y | (0.67) Let’s figure this out together. To clarify, are you unable t",We'd like to help. Thanks for bringing this situation to our attention. Could you let us know more details via a DM? We’ll move from there.,,,,,,
gold_013,"Shame to pay this much for a phone when my keyboard disappears, my screen gets stuck sideways & my keys stop working Fix this","(0.72) Thanks for reaching out. We're here to help. DM us so we can | (0.64) We'd like to see if we can help. To start, DM us more about ",Thanks for reaching out. We're here to help. DM us so we can look into this further with you.,,,,,,
gold_014,fix this *i* issue! Updated my phone and it still didn’t work. What is happening?,(0.86) Hey there! We'd like to help. Check out the steps available  | (0.80) DM the country or region where you are located to continue.,We'd like to help. Hey there! We'd like to help. Check out the steps available here for this issue: DM us with questions:,,,,,,
gold_015,Can please fix this “i” issue 😭😭😭😭😭😭😭😭😭😭😭😭😭😭,(0.93) Let's look into this together. Send us a DM letting us know  | (0.92) Thanks for reaching out. We have a workaround for this here:,Let's look into this together. Send us a DM letting us know which device you're using and the iOS version installed.,,,,,,
gold_016,iMessages have not been appearing on my Mac since upgrading to iOS 11/High Sierra... what’s going on?,(0.84) Having messages on both devices is a great feature. Let's ge | (0.73) We're happy to look into this with you and get your Messages,We'd like to help. Having messages on both devices is a great feature. Let's get things syncing. Are you receiving iMessages on both devices?,,,,,,
gold_017,"Excuse me, can you tell me why our “I’s” are showing square boxes with A’s inside when typing on iPhone? It’s quite annoying.","(0.78) We'd be happy to help you out with your keyboard! Send us a  | (0.78) Are you experiencing this issue on your iPhone? If so, DM us",We'd like to help. We'd be happy to help you out with your keyboard! Send us a DM and we'll talk from there.,,,,,,
gold_018,hey lmk why my phone dies within an hour and then takes the same amount of time to turn back L M K,(0.76) We want to help out with that. Follow us to DM and we'll che | (0.70) You should be able to rely on your iPhone. Send us a DM and ,We want to help out with that. Follow us to DM and we'll check some things out for you.,,,,,,
gold_019,"hi there, Singapore is literally next to Malaysia. Why was my parcel sent to China first?",(0.38) We want to get you into the right hands. Reach out to our Sa | (0.38) Let's get to the bottom of this. Did you change your country,Thanks for reaching out. We want to help get this sorted out for you. Could you please let us know your exact device model and current software version via DM so we can assist further?,,,,,,
gold_020,"Hey what does one have to do to be able to order from your online store? Ordered ATV 4k with credit card, canceled by Apple.",(0.59) Thank you for reaching out. We know how concerning it is to  | (0.58) We can look into this with you. Join us in DM.,We'd like to help. Thank you for reaching out. We know how concerning it is to see unexpected charges. Reach out to us in DM and we’ll help.,,,,,,
gold_021,Might go back to “flare_cramoisi” lol. I️t doesn’t even make sense but I️t was easily identifiable,(0.39) What's going on with your auto-correct. We'd like to help! | (0.38) We're happy to help. What issue are you encountering with au,Thanks for reaching out. We want to help get this sorted out for you. Could you please let us know your exact device model and current software version via DM so we can assist further?,,,,,,
gold_022,I’ll get a text from an old phone number and when I try to add back to my contacts it won’t let me. iPhone 7. Can you help?,"(0.70) We can help. What device are you using and what version of i | (0.66) You're in the right place for help. To get us started, may w",We'd like to help. We can help. What device are you using and what version of iOS is it running? What happens when you try to text these numbers?,,,,,,
gold_023,Look the isso using the new sustém,"(0.40) Since our Twitter support is available in English, get help  | (0.32) We'd like to help. DM us what country or region you're locat",Thanks for reaching out. We want to help get this sorted out for you. Could you please let us know your exact device model and current software version via DM so we can assist further?,,,,,,
gold_024,If I️ lose my streaks bc I️ can’t send snaps rn we gon have a problem,"(0.73) Thanks for reaching out. We have a workaround for this here: | (0.46) We're happy to help. Can you tell us exactly, what happens w",Thanks for reaching out. We have a workaround for this here: DM us if you still need help.,,,,,,
gold_025,Need to fix whatever tf is going on w my phone. I can’t even listen to my music. I pay for it I better be able to listen to it.,(0.68) We can assist you. Which iPhone model are you using? | (0.62) Keeping your iPhone up-to-date is important; we'll do all we,We'd like to help. We can assist you. Which iPhone model are you using?,,,,,,
gold_026,"hi, why haven't I been offered the update yet? Im on the beta system so thought I'd be kept up to date, not behind the times.",(0.59) We'd like to dig into this in greater detail. Let's continue | (0.59) Here’s what you can do to work around the issue until it’s f,We'd like to help. We'd like to dig into this in greater detail. Let's continue chatting via DM.,,,,,,
gold_027,"I got an email that looks like it’s from you guys, but it also seems suspicious, could you DM and provide support?",(0.69) This is not a legitimate email from Apple. This article expl | (0.69) Good eye! Thanks for the screenshot. This doesn't appear to ,We'd like to help. This is not a legitimate email from Apple. This article explains how to identify and report the email:,,,,,,
gold_028,Ive got quite an old ipad mini do still need to do the update 11.03? i wont loose everything will i?,(0.67) Yes it is. What happens when you try to update? Are you rece | (0.65) That's not expected behavior. Send us a DM with the country ,We'd like to help. Yes it is. What happens when you try to update? Are you receiving any error messages or anything like that?,,,,,,
gold_029,Does someone want to hangout with me,(0.38) Here’s what you can do to work around the issue until it’s f | (0.35) We may be able to help. Reach us via DM to continue.,Thanks for reaching out. We want to help get this sorted out for you. Could you please let us know your exact device model and current software version via DM so we can assist further?,,,,,,
gold_030,why can’t I️ get rid of this error when typing? It’s turning my I’s to A’s 😑,(0.70) Here’s what you can do to work around the issue until it’s f | (0.69) We'd love to assist you with that issue. Click here:,We'd like to help. Here’s what you can do to work around the issue until it’s fixed in a future software update:,,,,,,
