id,customer_message,context,gold_intent,gold_decision,gold_reason,optional_reference_notes
gold_001,iPhone 6s updated to iOS 11. Phone now flashing and screen not going black during calls! Any ideas why? TIA,,,,,Historical agent resolution snippet: Let's look into that. Send us a DM and we'll go from there....
gold_002,Is there a way to save #animojis without having to send them first? #iphonex,"Is there a way to save #animojis without having to send them first? #iphonex @AppleSupport
Thanks guys. I’ll have a look 👀",,,,Historical agent resolution snippet: Great question. This article goes over the ways you can save an Animoji. Check it out:...
gold_003,Alright the whole point of updates is to make the phone run smoother. Ya need to drop 11.0.4 already cause this is ridiculous,"Alright @115858 the whole point of updates is to make the phone run smoother. Ya need to drop 11.0.4 already cause this is ridiculous
comes out but let me at least enjoy my phone. I plan on buying the X anyway. Let me just use my phones peacefully till then
The only thing you can do is roll out a new update to fix these problems. We know you like to start having iPhone mess up before the new one",,,,Historical agent resolution snippet: We'd love to help you with your iPhone's issues. Let's go into DM so we can work together to get them solved....
gold_004,Wtf is that question mark in a box shit ?,"Wtf is that question mark in a box shit @115858 ?
Fr fix that. It messes with my eyes lbs",,,,Historical agent resolution snippet: We're happy to help. Take a look at this article with some steps to help with this issue:...
gold_005,help me my MacBook won’t charge or turn on,,,,,Historical agent resolution snippet: Let's work together to get your MacBook up and running again. Let us know what happens after these steps:...
gold_006,. 140 characters is not enough room to enumerate all the issues my iPhone is having since updating to iOS 11.03 #phonetherapy?,.@AppleSupport 140 characters is not enough room to enumerate all the issues my iPhone is having since updating to iOS 11.03 #phonetherapy?,,,,Historical agent resolution snippet: We can help out. Let us know what issues you're having in Direct Message....
gold_007,"I'll be traveling to Nicaragua, Costa Rica, and Panama. Do I need a voltage converter for any of these countries?",,,,,Historical agent resolution snippet: Excellent question. They may have different adapters. This should cover you:...
gold_008,you guys need to fix this “ I️ “ BS!!!,,,,,Historical agent resolution snippet: Here’s what you can do to work around the issue until it’s fixed in a future software update:...
gold_009,I had about 1000 photos on my phone. Suddenly there are only 32. They’re not in my iCloud. Where are they!? .,I had about 1000 photos on my phone. Suddenly there are only 32.  They’re not in my iCloud.  Where are they!?  .@AppleSupport,,,,Historical agent resolution snippet: We'd be happy to help. Send us a DM and we can start there....
gold_010,is anyone else having an issue when they type “i️” i️t replaces i️t with some punctuation marks??,"is anyone else having an issue when they type “i️” i️t replaces i️t with some punctuation marks??
Help please every time i️ type the letter I️ i️t changes i️t",,,,Historical agent resolution snippet: We'd be happy to look into this with you. Could you DM us the device and exact version of iOS running?...
gold_011,Just downloaded IOS 11.0.2 and now can’t make any calls- what’s the issue? #helpmeout,,,,,Historical agent resolution snippet: Which device are you using? Let us know in a DM....
gold_012,"Suddenly, iTunes won’t play more than one song at a time. How did that get broken?","Suddenly, iTunes won’t play more than one song at a time. @115858 How did that get broken?",,,,Historical agent resolution snippet: We'd like to learn more about this. Is it not giving you the option to Play Next or not advancing to the next song in a ...
gold_013,"Shame to pay this much for a phone when my keyboard disappears, my screen gets stuck sideways & my keys stop working Fix this","Shame to pay this much for a phone when my keyboard disappears, my screen gets stuck sideways &amp; my keys stop working Fix this @AppleSupport",,,,Historical agent resolution snippet: We're happy to assist. Which iOS version are you currently running? Go to Settings > General > About for the version....
gold_014,fix this *i* issue! Updated my phone and it still didn’t work. What is happening?,,,,,Historical agent resolution snippet: We'd like to look further at this. Please DM us....
gold_015,Can please fix this “i” issue 😭😭😭😭😭😭😭😭😭😭😭😭😭😭,Can @115858 please fix this “i” issue 😭😭😭😭😭😭😭😭😭😭😭😭😭😭,,,,"Historical agent resolution snippet: Thanks for reaching out. This article has more details on that behavior, including how to address it:..."
gold_016,iMessages have not been appearing on my Mac since upgrading to iOS 11/High Sierra... what’s going on?,"iMessages have not been appearing on my Mac since upgrading to iOS 11/High Sierra… what’s going on?
I have my iPad Mini 2 (iOS 11), and a 2015 MacBook (High Sierra). Those all seem to sync fine. Only the Mac Mini does not.",,,,Historical agent resolution snippet: We can help with iMessages. Are you using any other devices with the Mac for iMessage?...
gold_017,"Excuse me, can you tell me why our “I’s” are showing square boxes with A’s inside when typing on iPhone? It’s quite annoying.","Excuse me, can you tell me why our “I’s” are showing square boxes with A’s inside when typing on iPhone? It’s quite annoying. @AppleSupport",,,,Historical agent resolution snippet: We want to do everything we can to help. DM us what iPhone and version of iOS you are using and we'll go from there....
gold_018,hey lmk why my phone dies within an hour and then takes the same amount of time to turn back L M K,hey @AppleSupport lmk why my phone dies within an hour and then takes the same amount of time to turn back L M K,,,,Historical agent resolution snippet: Let's help get this resolved. Please DM us what version of iOS you're using and we can go from there....
gold_019,"hi there, Singapore is literally next to Malaysia. Why was my parcel sent to China first?","hi there, Singapore is literally next to Malaysia. Why was my parcel sent to China first? https://t.co/m2XBsxPsYG
Also, i’ve just ordered W592350604. Hope it will go straight to Malaysia from Singapore",,,,Historical agent resolution snippet: We're happy to help and point you in the right direction. Our Online Sales Support Team can help you here:...
gold_020,"Hey what does one have to do to be able to order from your online store? Ordered ATV 4k with credit card, canceled by Apple.","Hey @AppleSupport what does one have to do to be able to order from your online store? Ordered ATV 4k with credit card, canceled by Apple.",,,,Historical agent resolution snippet: Thanks for reaching out. DM us the country you're located in & we'll go from there....
gold_021,Might go back to “flare_cramoisi” lol. I️t doesn’t even make sense but I️t was easily identifiable,"Might go back to “flare_cramoisi” lol. I️t doesn’t even make sense but I️t was easily identifiable
If y’all don’t fix this damn box I’m coming to headquarters and squaring up with every last one of y’all. @115858",,,,Historical agent resolution snippet: Here’s what you can do to work around the issue until it’s fixed in a future software update:...
gold_022,I’ll get a text from an old phone number and when I try to add back to my contacts it won’t let me. iPhone 7. Can you help?,"I’ll get a text from an old phone number and when I try to add back to my contacts it won’t let me. iPhone 7. Can you help?
11.0.3",,,,Historical agent resolution snippet: We can help. Can you tell us the iOS version you are using please?...
gold_023,Look the isso using the new sustém,"Look the isso using the new sustém https://t.co/JHCPlgdHTu
https://t.co/NroZ6n1RgO",,,,Historical agent resolution snippet: We are here to help. DM us your current iOS version and we can take a look at this for you....
gold_024,If I️ lose my streaks bc I️ can’t send snaps rn we gon have a problem,"If I️ lose my streaks bc I️ can’t send snaps rn we gon have a problem @124423
And if @AppleSupport doesn’t fix this “I️” problem soon we gon have to fight",,,,Historical agent resolution snippet: We'd like to help. Here’s what you can do to work around the issue:...
gold_025,Need to fix whatever tf is going on w my phone. I can’t even listen to my music. I pay for it I better be able to listen to it.,Need @115858 to fix whatever tf is going on w my phone. I can’t even listen to my music. I pay for it I better be able to listen to it.,,,,Historical agent resolution snippet: We're happy to assist. Which iOS version are you currently running? Go to Settings > General > About for the version....
gold_026,"hi, why haven't I been offered the update yet? Im on the beta system so thought I'd be kept up to date, not behind the times.","hi, why haven't I been offered the update yet? Im on the beta system so thought I'd be kept up to date, not behind the times. https://t.co/17QaP3ONZW",,,,Historical agent resolution snippet: We'd like to help. Which iPhone model are you using? Please let us know in DM....
gold_027,"I got an email that looks like it’s from you guys, but it also seems suspicious, could you DM and provide support?",,,,,Historical agent resolution snippet: We actually have a great and helpful article....
gold_028,Ive got quite an old ipad mini do still need to do the update 11.03? i wont loose everything will i?,Ive got quite an old ipad mini do still need to do the update 11.03? @AppleSupport i wont loose everything will i?,,,,Historical agent resolution snippet: Great question. We do always recommend making a backup before any update. Let's meet up in DM to discuss further....
gold_029,Does someone want to hangout with me,"Does someone want to hangout with me
I️ hope this comes off as pathetic as I️ think it does
figure out this AUTOCORRECT SHIT",,,,"Historical agent resolution snippet: We’d like to offer some guidance with this. Use the link below to join us in DM, and we’ll get started...."
gold_030,why can’t I️ get rid of this error when typing? It’s turning my I’s to A’s 😑,why can’t I️ get rid of this error when typing? It’s turning my I’s to A’s 😑 https://t.co/GjjGYLmIz0,,,,"Historical agent resolution snippet: We'd like to take a closer look. Please DM the iPhone type, and iOS version...."
